# path	class_name	extends	lines	signals	funcs
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/labels/plugin_version_label.gd		Label	28		_get_plugin_version,update_version_label,_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/loading_screen/loading_screen.gd	LoadingScreen	CanvasLayer	176		update_total_loading_progress,_reset_loading_stage,_reset_loading_start_time,_get_seconds_waiting,_update_scene_loading_progress,_set_scene_loading_complete,_reset_scene_loading_progress,_show_loading_stalled_error_message,_show_scene_switching_error_message,_hide_popups,get_progress_message,_update_progress_messaging,_process,_on_loading_timer_timeout,_reload_main_scene_or_quit,_on_error_message_confirmed,_on_confirmation_dialog_canceled,_on_confirmation_dialog_confirmed,reset,close
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/menus/main_menu/main_menu.gd	MainMenu	Control	125	sub_menu_opened,sub_menu_closed,game_started,game_exited	get_game_scene_path,load_game_scene,new_game,try_exit_game,exit_game,_open_sub_menu,_close_sub_menu,_event_is_mouse_button_released,_input,_hide_exit_for_web,_hide_new_game_if_unset,_hide_options_if_unset,_hide_credits_if_unset,_ready,_on_new_game_button_pressed,_on_options_button_pressed,_on_credits_button_pressed,_on_exit_button_pressed,_on_exit_confirmation_confirmed
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/menus/options_menu/audio/audio_options_menu.gd		Control	38		_on_bus_changed,_add_audio_control,_add_audio_bus_controls,_update_ui,_ready,_on_mute_control_setting_changed
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/menus/options_menu/input/input_actions_list.gd	InputActionsList	Container	349	already_assigned,minimum_reached,button_clicked	_refresh_readable_action_names,_clear_list,_replace_action,_on_button_pressed,_new_action_box,_add_header,_add_to_action_button_map,_get_button_by_action,_update_next_button_disabled_state,_update_assigned_inputs_and_button,_clear_button,_add_new_button,_connect_button_and_add_to_maps,_add_action_options,_get_all_action_names,_get_action_readable_name,_build_ui_list,_assign_input_event,_assign_input_event_to_action_group,_build_assigned_input_events,_get_action_for_input_event,add_action_event,_refresh_ui_list_button_content,_set_action_box_container_size,reset,_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/menus/options_menu/input/input_actions_tree.gd	InputActionsTree	Tree	232	already_assigned,minimum_reached,add_button_clicked,remove_button_clicked	_refresh_readable_action_names,_start_tree,_add_input_event_as_tree_item,_add_action_as_tree_item,_get_all_action_names,_get_action_readable_name,_build_ui_tree,_assign_input_event,_assign_input_event_to_action,_can_remove_input_event,_remove_input_event,_remove_input_event_from_action,_build_assigned_input_events,_get_action_for_input_event,add_action_event,remove_action_event,reset,_add_item,_remove_item,_check_item_actions,_on_button_clicked,_on_item_activated,_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/menus/options_menu/input/input_icon_mapper.gd	InputIconMapper	FileLister	140	joypad_device_changed	_is_end_of_word,_get_standard_joy_name,_match_icon_to_file,_prioritized_files,_match_icons_to_inputs,get_icon,_assign_joypad_0_to_last,_input,_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/menus/options_menu/input/input_options_menu.gd		Control	92		_ready,_add_action_event,_remove_action_event,_on_reset_button_pressed,_on_key_deletion_confirmation_confirmed,_on_key_assignment_window_confirmed,_open_key_assignment_window,_on_input_actions_tree_add_button_clicked,_on_input_actions_tree_remove_button_clicked,_popup_already_assigned,_popup_minimum_reached,_on_input_actions_tree_already_assigned,_on_input_actions_tree_minimum_reached,_on_input_actions_list_already_assigned,_on_input_actions_list_minimum_reached,_on_input_actions_list_button_clicked,_on_reset_confirmation_confirmed
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/menus/options_menu/input/key_assignment_window.gd		ConfirmationOverlaidWindow	113		_record_input_event,_is_recordable_input,_start_listening,_stop_listening,_on_input_text_edit_focus_entered,_on_input_text_edit_focus_exited,_focus_on_ok,_ready,_input_matches_last,_is_mouse_input,_input_confirms_choice,_should_process_input_event,_should_confirm_input_event,_confirm_choice,_process_input_event,_on_input_text_edit_gui_input,_on_visibility_changed
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/menus/options_menu/option_control/list_option_control.gd	ListOptionControl	OptionControl	84		_on_option_values_changed,_on_setting_changed,_set_titles_from_values,_value_title_map,_match_value_to_other,_refresh_option_values,set_value,_set_option_list,disable_option,_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/menus/options_menu/option_control/option_control.gd	OptionControl	Control	136	setting_changed	_on_setting_changed,_get_setting,_connect_option_inputs,set_value,set_editable,_ready,_set,_get_property_list
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/menus/options_menu/option_control/vector_2_list_option_control.gd	Vector2ListOptionControl	ListOptionControl	9		_value_title_map
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/menus/options_menu/paginated_tab_container.gd		TabContainer	18		_unhandled_input
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/menus/options_menu/video/video_options_menu.gd		Control	37		_preselect_resolution,_update_resolution_options_enabled,_update_ui,_ready,_on_fullscreen_control_setting_changed,_on_resolution_control_setting_changed,_on_v_sync_control_setting_changed
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/opening/opening.gd		Control	120		get_next_scene_path,_on_scene_loaded,_load_next_scene,_add_textures_to_container,_event_skips_image,_event_skips_intro,_event_is_mouse_button_released,_unhandled_input,_gui_input,_transition_out,_transition_in,_wait_and_fade_out,_hide_previous_image,_show_next_image,_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/state/global_state.gd	GlobalState	Node	50		_log_opened,_log_version,_load_current_state,open,save,has_state,get_or_create_state,reset
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/state/global_state_data.gd	GlobalStateData	Resource	24		get_or_create_state,has_state
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/utilities/capture_focus.gd		Control	68		_focus_first_search,focus_first,update_focus,_should_capture_focus,_is_visible_and_should_capture,_on_visibility_changed,_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/utilities/file_lister.gd	FileLister	Node	62		_refresh_directory_files,_refresh_files
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/utilities/input_helper.gd	InputEventHelper	Node	210		has_joypad,is_joypad_event,is_mouse_event,is_screen_event,is_keyboard_event,get_joypad_device_name_by_id,get_joypad_device_name,get_input_device_name,_display_server_supports_keycode_from_physical,get_text,get_joypad_event_button_name,get_event_device_text,get_action_device_event
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/utilities/pause_menu_controller.gd		Node	31		pause,_unhandled_input,_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/windows/confirmation_overlaid_window.gd	ConfirmationOverlaidWindow	OverlaidWindow	20	confirmed	confirm,_on_confirm_button_pressed
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/windows/overlaid_window.gd	OverlaidWindow	WindowContainer	88		_set_focus_none,_set_focus_initial,close,_overlaid_window_setup,_on_visibility_changed,_enter_tree
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/windows/overlaid_window_scene_container.gd	OverlaidWindowContainer	OverlaidWindow	19		_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/windows/window_container.gd	WindowContainer	PanelContainer	67	closed,opened	_ready,close,_handle_cancel_input,_unhandled_input,_on_close_button_pressed,show,_exit_tree
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/credits/scrollable_credits.gd		Control	29		_on_visibility_changed,_ready,_process
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/credits/scrolling_credits.gd		Control	92	end_reached	set_header_and_footer,_on_resized,_end_reached,is_end_reached,_check_end_reached,_scroll_container,_on_gui_input,_on_scroll_started,_start_scroll_restart_timer,_on_scroll_restart_timer_timeout,_on_visibility_changed,_ready,_process,_exit_tree
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/end_credits/end_credits.gd		res://addons/maaacks_game_template/examples/scenes/credits/scrolling_credits.gd	61		get_main_menu_scene_path,_end_reached,load_main_menu,exit_game,_on_visibility_changed,_ready,_unhandled_input,_on_exit_button_pressed,_on_menu_button_pressed
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/game/levels/level.gd		Node	37	level_lost,level_won,level_changed	_on_lose_button_pressed,_on_win_button_pressed,open_tutorials,_ready,_on_color_picker_button_color_changed,_on_tutorial_button_pressed
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/game/scripts/configurable_sub_viewport.gd		SubViewport	12		_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/game/scripts/game_timer.gd		Node	27		_add_timers,_enter_tree,_exit_tree
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/game/scripts/input_display_label.gd		Label	21		_get_inputs_as_string,_process
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/game/scripts/tutorial_manager.gd		Node	32		open_tutorials,_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/loading_screen/loading_screen.gd		LoadingScreen	1		
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/loading_screen/loading_screen_with_shader_caching.gd		LoadingScreen	98		can_load_shader_cache,update_total_loading_progress,_set_scene_loading_complete,_show_all_draw_passes_once,_traverse_folders,_load_material,_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/menus/level_select_menu/level_select_menu.gd		Control	33	level_selected	_ready,add_levels_to_container,_on_level_buttons_container_item_activated
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/menus/main_menu/main_menu.gd		MainMenu	50		load_game_scene,new_game,_add_level_select_if_set,_show_continue_if_set,_ready,_on_continue_game_button_pressed,_on_level_select_button_pressed,_on_new_game_confirmation_confirmed
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/menus/main_menu/main_menu_with_animations.gd		MainMenu	80		load_game_scene,new_game,intro_done,_is_in_intro,_event_skips_intro,_open_sub_menu,_close_sub_menu,_input,_show_level_select_if_set,_show_continue_if_set,_ready,_on_continue_game_button_pressed,_on_level_select_button_pressed,_on_new_game_confirmation_confirmed
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/menus/options_menu/audio/audio_input_option_control.gd		ListOptionControl	39		_set_input_device,_add_microphone_audio_stream,_ready,_on_setting_changed,_value_title_map
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/menus/options_menu/game/game_options_menu.gd		Control	4		_on_ResetGameControl_reset_confirmed
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/menus/options_menu/game/reset_game_control/reset_game_control.gd		HBoxContainer	25	reset_confirmed	_on_cancel_button_pressed,_on_reset_button_pressed,_on_confirm_button_pressed
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/menus/options_menu/master_options_menu_with_tabs.gd		res://addons/maaacks_game_template/base/nodes/menus/options_menu/paginated_tab_container.gd	21		_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/menus/options_menu/mini_options_menu.gd		Control	64		_on_bus_changed,_add_audio_control,_add_audio_bus_controls,_preselect_resolution,_update_resolution_options_enabled,_update_ui,_ready,_on_mute_control_setting_changed,_on_fullscreen_control_setting_changed,_on_resolution_control_setting_changed
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/windows/game_won_window.gd		OverlaidWindow	26	continue_pressed,main_menu_pressed	_ready,_on_exit_button_pressed,_on_main_menu_button_pressed,_on_close_button_pressed,_on_main_menu_confirmation_confirmed,_on_exit_confirmation_confirmed
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/windows/level_lost_window.gd		OverlaidWindow	26	restart_pressed,main_menu_pressed	_ready,_on_exit_button_pressed,_on_main_menu_button_pressed,_on_close_button_pressed,_on_main_menu_confirmation_confirmed,_on_exit_confirmation_confirmed
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/windows/level_won_window.gd		OverlaidWindow	31	continue_pressed,main_menu_pressed,restart_pressed	_ready,_on_exit_button_pressed,_on_main_menu_button_pressed,_on_close_button_pressed,_on_main_menu_confirmation_confirmed,_on_restart_button_pressed,_on_exit_confirmation_confirmed
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/windows/main_menu_credits_window.gd		res://addons/maaacks_game_template/base/nodes/windows/overlaid_window_scene_container.gd	7		_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/windows/pause_menu.gd		OverlaidWindow	102		get_main_menu_scene_path,close_window,_load_scene,_show_window,_load_and_show_menu,_handle_cancel_input,_refresh_exit_button,_refresh_options_button,_refresh_main_menu_button,_ready,_on_restart_button_pressed,_on_options_button_pressed,_on_main_menu_button_pressed,_on_exit_button_pressed,_on_restart_confirmation_confirmed,_on_restart_confirmation_closed,_on_main_menu_confirmation_confirmed,_on_exit_confirmation_confirmed
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scenes/windows/pause_menu_layer.gd		CanvasLayer	13		_on_pause_menu_hidden,_on_visibility_changed,_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scripts/game_state.gd	GameStateExample	Resource	79		get_level_state,has_game_state,get_or_create_state,get_current_level_path,get_checkpoint_level_path,get_levels_reached,set_checkpoint_level_path,set_current_level_path,start_game,continue_game,reset
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scripts/level_and_state_manager.gd		LevelManager	15		set_current_level_path,set_checkpoint_level_path,get_checkpoint_level_path
third_party/Godot-Game-Template/addons/maaacks_game_template/examples/scripts/level_state.gd	LevelStateExample	Resource	5		
third_party/Godot-Game-Template/addons/maaacks_game_template/extras/scripts/capture_mouse.gd		Control	8		_gui_input
third_party/Godot-Game-Template/addons/maaacks_game_template/extras/scripts/level_loader.gd	LevelLoader	Node	45	level_load_started,level_loaded,level_ready	_attach_level,load_level
third_party/Godot-Game-Template/addons/maaacks_game_template/extras/scripts/level_manager.gd	LevelManager	Node	188		set_current_level_path,set_checkpoint_level_path,_try_connecting_signal_to_node,_try_connecting_signal_to_level,_close_scene,get_main_menu_scene_path,_load_main_menu,_find_in_scene_lister,is_on_last_level,get_relative_level_path,get_next_level_path,get_prev_level_path,get_ending_scene_path,_load_ending,_on_level_lost,get_checkpoint_level_path,load_level,_load_checkpoint_level,_reload_level,_load_win_screen_or_ending,_load_level_won_screen_or_checkpoint,_on_level_won,_on_level_changed,_connect_level_signals,_on_level_loader_level_loaded,_on_level_loader_level_load_started,_on_level_loader_level_ready,_auto_load,_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/extras/scripts/scene_lister.gd	SceneLister	Node	23		_refresh_files
third_party/Godot-Game-Template/addons/maaacks_game_template/extras/scripts/win_lose_manager.gd		Node	70		_try_connecting_signal_to_node,get_main_menu_scene_path,_load_main_menu,get_ending_scene_path,_load_ending,_load_lose_screen_or_reload,_reload_level,_load_win_screen_or_ending,game_lost,game_won
third_party/Godot-Game-Template/addons/maaacks_game_template/installer/check_plugin_version.gd		Node	86	new_version_detected,versions_matched,failed	get_plugin_version,_update_urls,_on_api_client_request_failed,_on_api_client_response_received,compare_versions,_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/installer/copy_and_edit_files.gd		Node	176	canceled,completed	show,hide,close,_remove_uids,_replace_paths,_replace_strings,_replace_content,_replace_file_contents,_save_resource,_raw_copy_file_path,_copy_file_path,_copy_directory_path,_complete,_wait_for_scan_and_complete,_delayed_saving_and_next_prompt,_copy_to_directory,_on_destination_dialog_dir_selected,_on_destination_dialog_canceled
third_party/Godot-Game-Template/addons/maaacks_game_template/installer/kenney_input_prompts_dialog.gd		ConfirmationDialog	12	configuration_selected	_on_item_list_item_selected,set_short_description
third_party/Godot-Game-Template/addons/maaacks_game_template/installer/kenney_input_prompts_installer.gd		Node	336	canceled,completed	_download_and_extract,_run_complete,_clean_up_or_complete,_process,_delete_recursive,get_full_path,_has_extras,_delete_extras,_configure_icons,_configure_and_complete,_scan_filesystem_and_reimport,_enable_forced_install,_enable_skipped_install,_show_error_dialog,_ready,_on_kenney_input_prompts_dialog_canceled,_on_kenney_input_prompts_dialog_configuration_selected,_on_kenney_input_prompts_dialog_confirmed,_on_skip_installation_dialog_canceled,_on_skip_installation_dialog_confirmed,_on_error_dialog_confirmed,_on_error_dialog_canceled,_on_download_and_extract_run_completed,_on_download_and_extract_run_failed,_on_clean_up_dialog_confirmed,_on_clean_up_dialog_canceled
third_party/Godot-Game-Template/addons/maaacks_game_template/installer/main_scene_confirmation_dialog.gd		ConfirmationDialog	8		set_main_scene_text
third_party/Godot-Game-Template/addons/maaacks_game_template/installer/release_notes_label.gd		RichTextLabel	79		regex_replace_imgs,regex_replace_urls,regex_replace_bolds,regex_replace_titles,from_release_notes,_on_meta_clicked,_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/installer/setup_wizard.gd		AcceptDialog	139		_refresh_plugin_details,_show_plugin_versions_match,_enable_update_plugin_tool_option,_open_check_plugin_version,_refresh_copy_and_delete_examples,_refresh_update_autoload_paths,_refresh_main_scene,_refresh_default_theme,_refresh_input_prompts,_refresh_options,_ready,_on_update_button_pressed,_on_copy_button_pressed,_on_delete_button_pressed,_on_update_paths_button_pressed,_on_set_main_scene_button_pressed,_on_set_default_theme_button_pressed,_on_add_input_icons_button_pressed
third_party/Godot-Game-Template/addons/maaacks_game_template/installer/theme_selection_dialog.gd		ConfirmationDialog	33	theme_selected	_fill_with_themes,_ready,_preview_theme,_on_item_list_item_selected
third_party/Godot-Game-Template/addons/maaacks_game_template/installer/update_plugin.gd		Node	174	update_completed	_load_plugin_details,_update_urls,_show_error_dialog,_show_success_dialog,_on_api_client_request_failed,_on_api_client_response_received,_on_download_and_extract_zip_saved,_on_download_and_extract_run_failed,_on_download_and_extract_run_completed,_on_error_dialog_canceled,_on_error_dialog_confirmed,_on_success_dialog_canceled,_on_success_dialog_confirmed,_on_update_confirmation_dialog_canceled,_on_update_confirmation_dialog_confirmed,_on_warning_message_button_pressed,_on_release_notes_button_pressed,get_newest_version,_ready,_process
third_party/Godot-Game-Template/addons/maaacks_game_template/plugin.gd	MaaacksGameTemplatePlugin	EditorPlugin	413		get_plugin_name,get_settings_path,get_plugin_path,get_plugin_examples_path,get_app_config_path,get_scene_loader_path,get_copy_path,_on_theme_selected,_update_gui_theme,_on_visibility_changed_to_hidden,open_theme_selection_dialog,open_setup_complete_dialog,_delayed_call_with_path,_delayed_open_setup_complete_dialog,_update_main_scene,is_main_scene_set,_check_main_scene_needs_updating,open_main_scene_confirmation_dialog,_open_play_opening_confirmation_dialog,_open_delete_examples_confirmation_dialog,open_delete_examples_short_confirmation_dialog,_run_opening_scene,_delete_directory_recursive,_delete_source_examples_directory,_raw_copy_file_path,_copy_override_file,_update_app_config_paths,_update_scene_loader_path,_add_translations,_is_app_config_path_updated,_is_scene_loader_path_updated,are_autoload_paths_updated,update_autoload_paths,_on_completed_copy_to_directory,are_examples_deleted,is_partially_installed,open_input_icons_dialog,open_copy_and_edit_dialog,_open_confirmation_dialog,_open_continue_setup_dialog,_open_check_plugin_version,open_update_plugin,open_setup_wizard,_add_update_plugin_tool_option,_remove_update_plugin_tool_option,_show_plugin_dialogues,_resave_if_recently_opened,_add_audio_bus,_install_audio_busses,_add_tool_options,_remove_tool_options,_enable_plugin,_disable_plugin,_enter_tree,_exit_tree
third_party/Godot-Game-Template/addons/maaacks_game_template/utilities/api_client.gd		Node	156	response_received,request_failed	get_http_request,get_api_key,get_api_url,get_api_method,mock_empty_body,mock_request,request,request_raw,_on_request_completed,_on_http_request_request_completed,_on_timeout_timer_timeout
third_party/Godot-Game-Template/addons/maaacks_game_template/utilities/download_and_extract.gd		Node	284	run_completed,response_received,run_failed,zip_saved	get_http_request,get_zip_url,_zip_exists,get_request_method,run,_delete_zip_file,_save_zip_file,extract_path_exists,_make_extract_path,_extract_files,_on_request_completed,_on_http_request_request_completed,_on_timeout_timer_timeout,get_progress,get_save_progress,get_extraction_progress,get_download_progress,_zipped_files_remaining,_extract_next_zipped_file,_finish_extraction,_process
third_party/Godot-Game-Template/scenes/credits/scrollable_credits.gd		Control	29		_on_visibility_changed,_ready,_process
third_party/Godot-Game-Template/scenes/credits/scrolling_credits.gd		Control	92	end_reached	set_header_and_footer,_on_resized,_end_reached,is_end_reached,_check_end_reached,_scroll_container,_on_gui_input,_on_scroll_started,_start_scroll_restart_timer,_on_scroll_restart_timer_timeout,_on_visibility_changed,_ready,_process,_exit_tree
third_party/Godot-Game-Template/scenes/end_credits/end_credits.gd		res://scenes/credits/scrolling_credits.gd	61		get_main_menu_scene_path,_end_reached,load_main_menu,exit_game,_on_visibility_changed,_ready,_unhandled_input,_on_exit_button_pressed,_on_menu_button_pressed
third_party/Godot-Game-Template/scenes/game/levels/level.gd		Node	37	level_lost,level_won,level_changed	_on_lose_button_pressed,_on_win_button_pressed,open_tutorials,_ready,_on_color_picker_button_color_changed,_on_tutorial_button_pressed
third_party/Godot-Game-Template/scenes/game/scripts/configurable_sub_viewport.gd		SubViewport	12		_ready
third_party/Godot-Game-Template/scenes/game/scripts/game_timer.gd		Node	27		_add_timers,_enter_tree,_exit_tree
third_party/Godot-Game-Template/scenes/game/scripts/input_display_label.gd		Label	21		_get_inputs_as_string,_process
third_party/Godot-Game-Template/scenes/game/scripts/tutorial_manager.gd		Node	32		open_tutorials,_ready
third_party/Godot-Game-Template/scenes/loading_screen/loading_screen.gd		LoadingScreen	1		
third_party/Godot-Game-Template/scenes/loading_screen/loading_screen_with_shader_caching.gd		LoadingScreen	98		can_load_shader_cache,update_total_loading_progress,_set_scene_loading_complete,_show_all_draw_passes_once,_traverse_folders,_load_material,_ready
third_party/Godot-Game-Template/scenes/menus/level_select_menu/level_select_menu.gd		Control	33	level_selected	_ready,add_levels_to_container,_on_level_buttons_container_item_activated
third_party/Godot-Game-Template/scenes/menus/main_menu/main_menu.gd		MainMenu	50		load_game_scene,new_game,_add_level_select_if_set,_show_continue_if_set,_ready,_on_continue_game_button_pressed,_on_level_select_button_pressed,_on_new_game_confirmation_confirmed
third_party/Godot-Game-Template/scenes/menus/main_menu/main_menu_with_animations.gd		MainMenu	80		load_game_scene,new_game,intro_done,_is_in_intro,_event_skips_intro,_open_sub_menu,_close_sub_menu,_input,_show_level_select_if_set,_show_continue_if_set,_ready,_on_continue_game_button_pressed,_on_level_select_button_pressed,_on_new_game_confirmation_confirmed
third_party/Godot-Game-Template/scenes/menus/options_menu/audio/audio_input_option_control.gd		ListOptionControl	39		_set_input_device,_add_microphone_audio_stream,_ready,_on_setting_changed,_value_title_map
third_party/Godot-Game-Template/scenes/menus/options_menu/game/game_options_menu.gd		Control	4		_on_ResetGameControl_reset_confirmed
third_party/Godot-Game-Template/scenes/menus/options_menu/game/reset_game_control/reset_game_control.gd		HBoxContainer	25	reset_confirmed	_on_cancel_button_pressed,_on_reset_button_pressed,_on_confirm_button_pressed
third_party/Godot-Game-Template/scenes/menus/options_menu/master_options_menu_with_tabs.gd		res://addons/maaacks_game_template/base/nodes/menus/options_menu/paginated_tab_container.gd	21		_ready
third_party/Godot-Game-Template/scenes/menus/options_menu/mini_options_menu.gd		Control	64		_on_bus_changed,_add_audio_control,_add_audio_bus_controls,_preselect_resolution,_update_resolution_options_enabled,_update_ui,_ready,_on_mute_control_setting_changed,_on_fullscreen_control_setting_changed,_on_resolution_control_setting_changed
third_party/Godot-Game-Template/scenes/windows/game_won_window.gd		OverlaidWindow	26	continue_pressed,main_menu_pressed	_ready,_on_exit_button_pressed,_on_main_menu_button_pressed,_on_close_button_pressed,_on_main_menu_confirmation_confirmed,_on_exit_confirmation_confirmed
third_party/Godot-Game-Template/scenes/windows/level_lost_window.gd		OverlaidWindow	26	restart_pressed,main_menu_pressed	_ready,_on_exit_button_pressed,_on_main_menu_button_pressed,_on_close_button_pressed,_on_main_menu_confirmation_confirmed,_on_exit_confirmation_confirmed
third_party/Godot-Game-Template/scenes/windows/level_won_window.gd		OverlaidWindow	31	continue_pressed,main_menu_pressed,restart_pressed	_ready,_on_exit_button_pressed,_on_main_menu_button_pressed,_on_close_button_pressed,_on_main_menu_confirmation_confirmed,_on_restart_button_pressed,_on_exit_confirmation_confirmed
third_party/Godot-Game-Template/scenes/windows/main_menu_credits_window.gd		res://addons/maaacks_game_template/base/nodes/windows/overlaid_window_scene_container.gd	7		_ready
